district,province,fiscal_year,overall_score_pct,rank,num_imihigo
Nyaruguru,Southern,2019/2020,84.09,1.0,
Huye,Southern,2019/2020,82.88,2.0,
Rwamagana,Eastern,2019/2020,82.42,3.0,
Gisagara,Southern,2019/2020,78.36,4.0,
Nyanza,Southern,2019/2020,77.95,5.0,
Nyamasheke,Western,2019/2020,77.44,6.0,
Ngoma,Eastern,2019/2020,77.33,7.0,
Kirehe,Eastern,2019/2020,76.24,10.0,
Kayonza,Eastern,2019/2020,73.91,11.0,
Kamonyi,Southern,2019/2020,73.65,12.0,
Nyagatare,Eastern,2019/2020,69.39,13.0,
Gicumbi,Northern,2019/2020,68.74,14.0,
Bugesera,Eastern,2019/2020,68.59,15.0,
Gatsibo,Eastern,2019/2020,68.4,16.0,
Ruhango,Southern,2019/2020,67.95,17.0,
Rubavu,Western,2019/2020,67.84,18.0,
Burera,Northern,2019/2020,66.09,19.0,
Nyamagabe,Southern,2019/2020,65.04,20.0,
Rutsiro,Western,2019/2020,64.62,21.0,
Rulindo,Northern,2019/2020,62.33,23.0,
Ngororero,Western,2019/2020,61.56,24.0,
Muhanga,Southern,2019/2020,58.73,25.0,
Gakenke,Northern,2019/2020,55.98,26.0,
Musanze,Northern,2019/2020,53.22,27.0,
Nyabihu,Western,2019/2020,52.95,28.0,
Karongi,Western,2019/2020,51.25,29.0,
Rusizi,Western,2019/2020,50.01,30.0,
Nyagatare,Eastern,2021/2022,81.64,1.0,105.0
Huye,Southern,2021/2022,80.97,2.0,90.0
Rulindo,Northern,2021/2022,79.86,3.0,97.0
Nyaruguru,Southern,2021/2022,79.76,4.0,88.0
Rwamagana,Eastern,2021/2022,79.57,5.0,92.0
Rusizi,Western,2021/2022,79.27,6.0,94.0
Ruhango,Southern,2021/2022,79.11,7.0,96.0
Gatsibo,Eastern,2021/2022,79.05,8.0,99.0
Kamonyi,Southern,2021/2022,79.02,9.0,88.0
Ngoma,Eastern,2021/2022,79.0,10.0,86.0
Karongi,Western,2021/2022,78.97,11.0,96.0
Muhanga,Southern,2021/2022,78.9,12.0,85.0
Rubavu,Western,2021/2022,78.74,13.0,89.0
Kirehe,Eastern,2021/2022,78.68,14.0,95.0
Gisagara,Southern,2021/2022,78.55,15.0,95.0
Nyabihu,Western,2021/2022,78.41,16.0,85.0
Kayonza,Eastern,2021/2022,78.15,17.0,105.0
Ngororero,Western,2021/2022,77.76,18.0,86.0
Nyanza,Southern,2021/2022,77.66,19.0,89.0
Bugesera,Eastern,2021/2022,77.26,20.0,94.0
Nyamasheke,Western,2021/2022,76.66,21.0,100.0
Nyamagabe,Southern,2021/2022,71.11,22.0,92.0
Gakenke,Northern,2021/2022,70.91,23.0,83.0
Gicumbi,Northern,2021/2022,70.88,24.0,90.0
Musanze,Northern,2021/2022,67.65,25.0,83.0
Rutsiro,Western,2021/2022,66.27,26.0,87.0
Burera,Northern,2021/2022,61.79,27.0,88.0
Ngoma,Eastern,2022/2023,69.9,24.0,
Gisagara,Southern,2022/2023,85.8,1.0,
Nyagatare,Eastern,2022/2023,84.8,6.0,
Gakenke,Northern,2022/2023,82.6,14.0,
Gatsibo,Eastern,2022/2023,85.4,3.0,
Nyamagabe,Southern,2022/2023,73.2,23.0,
Muhanga,Southern,2022/2023,82.4,15.0,
